Expressions,Description
 ---------------------------------
 ---------------------------------
Boil over 2 (one woman's anger boiled over, the milk`s boiled over)*,
Give off sth,
Do without sb/sth 1*,
Frown upon sb/sth 1*,
Hold out on sb (to refuse to give help or information to someone) 1*,
Single sb/sth out (for/as) (to treat or to speak about (someone or something in a group) in a way that is different from the way one treats or speaks about others) 1,
Trip over sth 1*,
Cheer sb on 1,
Tell on sb 1*,
Whip sth out 1,(pull out)
Call around 1*,
Talk back to sb (reply defiantly or insolently)1,
Die down (to gradually become less strong) 1*,
throw sth out 1 (throw away),
lay sb off 1 (sometimes pasive),
bundle up  1*,
burst out (ing) 1 (laughing ,crying, yelling, applauding)*,
Ease off 1 (become less unpleasant or annoying)*,
Ease off on sth/sb 1*,
Think sth up  1 (come up with)*,
Lash out at sb/sth 2 (attack suddenly , critizice angrily)*,
Put sth away 1,
Put sb away 1,
tidy up sth 1(tidy, arrange or make small changes to improve sth)*,
Grow out of sth1 (stop liking/interest)*,
Grow into sth 2 (clothes,become,more confident in some activity)*,
Grow on sb 1*,
run up on sb (To approach someone very quickly, especially with the intent of attacking them)1*,
Walk all over sb 2 (treat badly, defeat)*,
Live off sb/sth 1*,
Backfire on 1*,
wait up 1*,
wait up for sb 1*,
drag sb into sth 1,
come down to sth 1 (same as boil down to)*,
boil down to sth 1 (reduce or simplify to the most basic or fundamental parts) *,
sleep in 1*,
walk up to sth/sb 1*,
Rat sb out 1,
come together 2 (attend sth, touch ot join)*
crash into sth/sb 1*,
bump into sb 1*,
bump into sb/sth 1*,
think sth through 1,
sober sb up 1,
build sth up 1, 
come about 1(happen)*,
put up 1(resistance, a great performance, a fight)*,
buy into sth 1 (idea,opinion)*,
laugh sth off 1,
throw sb off 1 (confuse, impair confidence or concentration),
Butter sb up 1(to be very kind or friendly to someone or try to please someone, so that that person will do what you want him or her to do),
Speak out (against, in favour, in defence) sb/sth 1*,
Breeze through sth 1*,
Explain sth away 1*(to avoid blame for something that has happened by making it seem not important or not your fault),
Turn sth over 1 (position),
Sleep sth off 1,
Speak up 1*,
max sth out (at)1,
play around 1*,
Rip on sb/sth 1*,
Pay up 1*,
Let go of sb/sth 1*,
Start out 1(related to job or work)*,
Gas out 1*(To become exhausted; to run out of gas or steam),
Creep up on sb 1*(to slowly and quietly move closer to (someone) without being noticed),
Creep sb out 1*(give someone an unpleasant feeling of fear or unease),
Start sth off (with) 1*,
Shake sth up 2(do something different from one's normal routine ,shake something in order to mix up or loosen its contents),
Lock sb in 1,
Get back at sb 1*(take revenge on someone),
Get sb back 1(to do something unpleasant to someone because they have done something unpleasant to you),
Read into sth 1*(to think of (something, such as a comment or situation) as having a meaning or importance that does not seem likely or reasonable),
Cash in (on sth) 2 ( opportunity,money)*,
Lead sb on 1,
Bug sb out 1(to behave or think in a strange way, especially because of being very worried, frightened, or angry),
Act sth out 1(to perform the actions and words of a situation or story),
Yell sth/sb out 1,
work towards sth 1*,
Zone out 1*(to stop paying attention and not hear or see what is around you for a short period of time),
See through sth 2 ( literal, sth not true)*,
Pack sth up 2 (travelling, leave work),
But in/out 1*,
Walk past sb 1*,
Walk sth off 1 (injury,heavy meal),
Walk off 1 (in an angry manner)*,
